"Back to cart","Back to cart"
User,User
Hi,Hi
"Sign In","Sign In"
VAT,VAT
Edit,Edit
"Billing Address","Billing Address"
"You can create an account after checkout.","You can create an account after checkout."
"Email Address","Email Address"
Password,Password
"You already have an account with us. Sign in or continue as guest.","You already have an account with us. Sign in or continue as guest."
Login,Login
"Forgot Your Password?","Forgot Your Password?"
"Forgot password?","Forgot password?"
"Discount code","Discount code"
Apply,Apply
Cancel,Cancel
"Apply coupon","Apply coupon"
"Cancel coupon","Cancel coupon"
"Ship Here","Ship Here"
"Order Summary","Order Summary"
"View and Edit Cart","View and Edit Cart"
"Place order","Place order"
"Options Details","Options Details"
"Street Address","Street Address"
Close,Close
"Please update your billing address.","Please update your billing address."
"Please select a shipping method.","Please select a shipping method."
"Please select a payment method.","Please select a payment method."
Guest,Guest
