{\rtf1\ansi\ansicpg1252\cocoartf2580
\cocoatextscaling0\cocoaplatform0{\fonttbl}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\margl1440\margr1440\vieww11520\viewh8400\viewkind0
}
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Creating an account has many benefits: check out faster, keep more than one address, track orders and more. You will receive an email to confirm your user.",module,Magento_Customer
"No Payment method available.","ATTENTION. Please make sure you have a billing address outside of Cuba, it must match the one that appears on your credit card. Cuban billing addresses are not accepted. ",module,Magento_Checkout
"INICIO","HOME"
"PRODUCTOS","PRODUCTS"
"QUIENES SÓMOS","ABOUT US"
"CONTÁCTENOS","CONTACT US"
"Sorry, no quotes are available for this order at this time","Please make sure that you have a shipping address in Cuba.",module,Magento_Checkout
"This shipping method is not available. To use this shipping method, please contact us.","Please make sure that you have a shipping address in Cuba."
"Please update or cancel Billing Address Form.","Please update your Billing Address for Place Order."

"NUEVOS PRODUCTOS","NEW PRODUCTS"
"CERVEZA","BEER"
"MALTAS","MALTS"
"OFERTAS","OFERTS"
"QUIÉNES SOMOS","ABOUT US"
"CONTACTENOS","CONTACT US"
